ticker,event_id,rdq,post_dt,score,num_comments,raw_compound,adp_compound,compound_delta,raw_label,adp_label,text_clean,text_processed
AMD,AMD_20210126,2021-01-26,2021-01-24,222,87,-0.8416,0.5625,1.4041,negative,positive,"CRAYON MANIA!! AAPL, AMD, CRM, CRSR, PLTR, and TSM or LET EARNINGS TAKE US INTERSTELLAR!! # AAPL: BULLISHnn# BULLISH PT: 142-145-148-150nn# FLOOR: 136-139nn# BEARISH PT: 129-134nnLive Chart: nn Flow Summary:nn AMD: BULLISHnn# Bullish PT: 99-103nn# Bearish PT: 85-88nnLive Chart: Flow Summary:nn CRM: BULLISHnn# BULLISH PT: 228-235-242nn# Bearish PT: 217-210nn# Moon PT: 248-256nnLive Chart: nn Flow S","CRAYON MANIA!! AAPL, AMD, CRM, CRSR, PLTR, and TSM or LET EARNINGS TAKE US INTERSTELLAR!! # AAPL: BULLISHnn# BULLISH PT: 142-145-148-150nn# FLOOR: 136-139nn# BEARISH PT: 129-134nnLive Chart: nn Flow Summary:nn AMD: BULLISHnn# Bullish PT: 99-103nn# Bearish PT: 85-88nnLive Chart: Flow Summary:nn CRM: BULLISHnn# BULLISH PT: 228-235-242nn# Bearish PT: 217-210nn# Moon PT: 248-256nnLive Chart: nn Flow S"
AAPL,AAPL_20210127,2021-01-27,2021-01-24,222,87,-0.8416,0.5625,1.4041,negative,positive,"CRAYON MANIA!! AAPL, AMD, CRM, CRSR, PLTR, and TSM or LET EARNINGS TAKE US INTERSTELLAR!! # AAPL: BULLISHnn# BULLISH PT: 142-145-148-150nn# FLOOR: 136-139nn# BEARISH PT: 129-134nnLive Chart: nn Flow Summary:nn AMD: BULLISHnn# Bullish PT: 99-103nn# Bearish PT: 85-88nnLive Chart: Flow Summary:nn CRM: BULLISHnn# BULLISH PT: 228-235-242nn# Bearish PT: 217-210nn# Moon PT: 248-256nnLive Chart: nn Flow S","CRAYON MANIA!! AAPL, AMD, CRM, CRSR, PLTR, and TSM or LET EARNINGS TAKE US INTERSTELLAR!! # AAPL: BULLISHnn# BULLISH PT: 142-145-148-150nn# FLOOR: 136-139nn# BEARISH PT: 129-134nnLive Chart: nn Flow Summary:nn AMD: BULLISHnn# Bullish PT: 99-103nn# Bearish PT: 85-88nnLive Chart: Flow Summary:nn CRM: BULLISHnn# BULLISH PT: 228-235-242nn# Bearish PT: 217-210nn# Moon PT: 248-256nnLive Chart: nn Flow S"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,469,31,0.5433,-0.8588,-1.4021,positive,negative,"Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok","Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,469,31,0.5433,-0.8588,-1.4021,positive,negative,"Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok","Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,469,31,0.5433,-0.8588,-1.4021,positive,negative,"Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok","Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,469,31,0.5433,-0.8588,-1.4021,positive,negative,"Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok","Ladder Selling Explained Source: Gerald Klein - Forty year career in finance and executive management beginning on Coopers & Lybrand audit staff (CPA) culminating with twenty-six years as CEO of publicly-held companies. nnAbusive shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brok"
GOOGL,GOOGL_20201029,2020-10-29,2020-10-22,0,7,-0.6662,0.7319,1.3980999,negative,positive,SPCE ? LAUNCH Anybody know what time the rocket launch is for today? And if there’s anywhere I can watch it live? Good ol’ google has let my retarded ass down yet again. And how are you all playing the event?,SPCE ? LAUNCH Anybody know what time the rocket launch is for today? And if there’s anywhere I can watch it live? Good ol’ google has let my retarded ass down yet again. And how are you all playing the event?
TSLA,TSLA_20210127,2021-01-27,2021-01-25,1,0,-0.504,0.8924,1.3964,negative,positive,"Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?","Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?"
TSLA,TSLA_20210127,2021-01-27,2021-01-25,1,2,-0.504,0.8924,1.3964,negative,positive,"Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?","Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?"
TSLA,TSLA_20210127,2021-01-27,2021-01-25,1,0,-0.504,0.8924,1.3964,negative,positive,"Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?","Newbie aCtUaL aUtIst looking for advice to reach moon ? ? ? (or at least buy mad tendies ? ?). Buying GME, BB, BBBY, PLTR and TSLA when market opens, got my ? ? ? ? ready ? Help a financially illiterate retard?"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-27,1,0,-0.6553,0.7149,1.3702,negative,positive,In case my fellow Retard rocket riders are wondering where their YOLOS line up next to GME as far as google searches go here you are $AMC&$GME ????,In case my fellow Retard rocket riders are wondering where their YOLOS line up next to GME as far as google searches go here you are $AMC&$GME ????
TSLA,TSLA_20210127,2021-01-27,2021-01-20,965,144,-0.8845,0.4726,1.3571,negative,positive,"? ? Andrew Left of Shitron Research is worth ~$5m after 18yrs of PrOfFeSsIoNaL tRaDiNg title says and link above shows, ?? Andrew Left (even his own name ain't Right) is worth \~$5m, which yes is a lot of money, but not if you've been the leader of the nUmBeR 1 aCtIvIsT sHoRt SelLeR for 14 yrs and traded pRoFfEsSiOnAlLy for 18yrs like he has.nnu/deepfuckingvalue has made 1.5x that on just GME, u/m","? ? Andrew Left of Shitron Research is worth ~$5m after 18yrs of PrOfFeSsIoNaL tRaDiNg title says and link above shows, ?? Andrew Left (even his own name ain't Right) is worth \~$5m, which yes is a lot of money, but not if you've been the leader of the nUmBeR 1 aCtIvIsT sHoRt SelLeR for 14 yrs and traded pRoFfEsSiOnAlLy for 18yrs like he has.nnu/deepfuckingvalue has made 1.5x that on just GME, u/m"
